location_id,name,distance,bearing,address_obj.street1,address_obj.street2,address_obj.city,address_obj.country,address_obj.address_string,address_obj.postalcode
22977543,IL Fiume - Real,0.6666914754383088,west,Rua do Parque Norte 33C,Real,Braga,Portugal,"Rua do Parque Norte 33C Real, Braga 4700-104 Portugal",4700-104
23380642,Ciccoria Caffe,0.6905601642169302,west,Rua 25 de Abril N0 15,,Braga,Portugal,"Rua 25 de Abril N0 15, Braga 4700-915 Portugal",4700-915
13185772,Restaurante Salsa Rosa,0.7894088146588557,west,Recta do Feital 131,,Braga,Portugal,"Recta do Feital 131, Braga 4700-272 Portugal",4700-272
17571965,Taberna Maria Preta,0.8115112202729012,west,"Recta do Feital, 76",,Braga,Portugal,"Recta do Feital, 76, Braga 4710-272 Portugal",4710-272
12946214,Azeite & Alho,0.8413325697094259,west,Rua Costa Gomes n0 353,,Braga,Portugal,"Rua Costa Gomes n0 353, Braga 4700-262 Portugal",4700-262
5964706,Forno Magico,0.9008700199930639,west,"Rua da Quinta, 12, Frossos",Frossos,Braga,Portugal,"Rua da Quinta, 12, Frossos Frossos, Braga 4700-023 Portugal",4700-023
7387205,Real Taberna,0.9025263045462809,west,Rua Costa Gomes 496,,Braga,Portugal,"Rua Costa Gomes 496, Braga 4700-262 Portugal",4700-262
15551019,Tasca Bie,0.6922352184143656,north,Rua da Carcamije,Dume,Braga,Portugal,"Rua da Carcamije Dume, Braga 4700-049 Portugal",4700-049
7355862,Tasca do Brito,0.7112344051769042,northwest,Rua das Oliveiras 4,,Braga,Portugal,"Rua das Oliveiras 4, Braga 4700-073 Portugal",4700-073
17371386,Tettris Cafe,0.06716217698246708,east,Rua Daniel de Matos,Bairro Norton de Matos.,Coimbra,Portugal,"Rua Daniel de Matos Bairro Norton de Matos., Coimbra Portugal",
5958966,Iguarias No Ponto,0.09196744577635854,east,Rua Pedro Alveares Cabral loja 94 e 96,,Coimbra,Portugal,"Rua Pedro Alveares Cabral loja 94 e 96, Coimbra 3030-393 Portugal",3030-393
9699164,Restaurante Norton,0.15892997776869147,east,Rua de Mocambique 281,,Coimbra,Portugal,"Rua de Mocambique 281, Coimbra 3030-062 Portugal",3030-062
13361073,Nostra Confeitaria,0.19117524954883033,north,Rua Adolfo Loureiro 41 R/ Esq,,Coimbra,Portugal,"Rua Adolfo Loureiro 41 R/ Esq, Coimbra 3030-033 Portugal",3030-033
1065199,Cafe Samambaia,0.1623542100213842,northeast,Praca Infante Dom Henrique,,Coimbra,Portugal,"Praca Infante Dom Henrique, Coimbra 3030-055 Portugal",3030-055
2373242,Dom Duarte Dois,0.5161441452370704,east,R. Mocambique 34,,Coimbra,Portugal,"R. Mocambique 34, Coimbra Portugal",
5959780,Churrasqueira Do Calhabe,0.3888216622032906,northeast,Rua do Brasil 376,,Coimbra,Portugal,"Rua do Brasil 376, Coimbra 3030-775 Portugal",3030-775
7247485,Petisqueira Navegadores,0.4199150577379295,northeast,Rua do Brasil 430,,Coimbra,Portugal,"Rua do Brasil 430, Coimbra 3030-775 Portugal",3030-775
12091753,Restaurante O Pipo,0.4354906940182623,northeast,Rua do Brasil N_ 371,,Coimbra,Portugal,"Rua do Brasil N_ 371, Coimbra 3030-175 Portugal",3030-175
14953599,Shari Sushi Bar,0.21649184456990955,southeast,Avenida Mendes Silva No 279/281,1st Floor,Coimbra,Portugal,"Avenida Mendes Silva No 279/281 1st Floor, Coimbra 3030-193 Portugal",3030-193
17536437,Infante Express,0.12894523007476166,northwest,Av. Calouste Gulbenkian 22-B,,Coimbra,Portugal,"Av. Calouste Gulbenkian 22-B, Coimbra 3000-098 Portugal",3000-098
17392474,Na Tabua,0.12454656755671269,northwest,Rua da Saragoca 95 A,,Coimbra,Portugal,"Rua da Saragoca 95 A, Coimbra 3000-379 Portugal",3000-379
3897352,Restaurante O Patio,0.08655523989262831,west,Patio da Inquisicao 26,3000-221,Coimbra,Portugal,"Patio da Inquisicao 26 3000-221, Coimbra 3000-221 Portugal",3000-221
19761028,Senor Hernandez,0.6122126280294194,north,Estrada de Coselhas,Corner to Largo Maria Linda,Coimbra,Portugal,"Estrada de Coselhas Corner to Largo Maria Linda, Coimbra 3000-125 Portugal",3000-125
12173707,Padaria e pastelaria Flor da Conchada,0.20272663501640106,northwest,16 Largo da Conchada,,Coimbra,Portugal,"16 Largo da Conchada, Coimbra 3000-118 Portugal",3000-118
11916529,La Bodeguita - Gastrobar,0.040712238395190156,southwest,Travessa de Montarroio 1,Junto ao Jardim da Manga; Pátio da Inquisição,Coimbra,Portugal,"Travessa de Montarroio 1 Junto ao Jardim da Manga; Pátio da Inquisição, Coimbra 3000-289 Portugal",3000-289
24859644,Restaurante Peixe Do Mercado,0.03221601453045987,south,R. Olimpio Nicolau Rui Fernandes 208,Mercado Municipal D. Pedro V - Piso 2,Coimbra,Portugal,"R. Olimpio Nicolau Rui Fernandes 208 Mercado Municipal D. Pedro V - Piso 2, Coimbra 3000-303 Portugal",3000-303
24111433,Praca do Mercado,0.03221601453045987,south,Rua Nicolau Rui Fernandes 208,"Floor 1, Municipal Market D Pedro V",Coimbra,Portugal,"Rua Nicolau Rui Fernandes 208 Floor 1, Municipal Market D Pedro V, Coimbra 3000-303 Portugal",3000-303
1065712,Jardim da Manga,0.07824332864277217,southwest,Rua Nicolau Rui Fernandes,,Coimbra,Portugal,"Rua Nicolau Rui Fernandes, Coimbra 3000-303 Portugal",3000-303
7322259,Restaurante Snack-Bar A Chamine,0.10616013436099181,west,Rua Pedro Rocha 9 R/C,Perto Do Patio Da Inquisicao,Coimbra,Portugal,"Rua Pedro Rocha 9 R/C Perto Do Patio Da Inquisicao, Coimbra 3000-330 Portugal",3000-330
5926693,Pastelaria Pintos,0.14758347459876275,southwest,Rua do Medronheiro 42,Paradela,Braga,Portugal,"Rua do Medronheiro 42 Paradela, Braga 4715-207 Portugal",4715-207
