postal_code,cod_distrito,cod_concelho,cod_localidade,nome_localidade,num_cod_postal,ext_cod_postal,desig_postal,nome_concelho,nome_distrito,LatLong
3810-511,1,5,6684,Aveiro,3810,511,AVEIRO,Aveiro,Aveiro,40.62869079135805%2C-8.630009832865285
3810-093,1,5,6684,Aveiro,3810,093,AVEIRO,Aveiro,Aveiro,40.63965489251897%2C-8.653195980903089
3810-475,1,5,6684,Aveiro,3810,475,AVEIRO,Aveiro,Aveiro,40.63880534456073%2C-8.658196072857656
3810-388,1,5,6684,Aveiro,3810,388,AVEIRO,Aveiro,Aveiro,40.639052591335386%2C-8.658567677828255
3810-100,1,5,6684,Aveiro,3810,100,AVEIRO,Aveiro,Aveiro,40.63916885975485%2C-8.65512494916527
3810-146,1,5,6684,Aveiro,3810,146,AVEIRO,Aveiro,Aveiro,40.63557381257418%2C-8.654460439549682
3810-135,1,5,6684,Aveiro,3810,135,AVEIRO,Aveiro,Aveiro,40.63419759233652%2C-8.65782840054785
3810-536,1,5,6684,Aveiro,3810,536,AVEIRO,Aveiro,Aveiro,40.641222829103135%2C-8.650131334224264
3800-129,1,5,6684,Aveiro,3800,129,AVEIRO,Aveiro,Aveiro,40.64555445186474%2C-8.649591407327778
3800-816,1,5,6684,Aveiro,3800,816,AVEIRO,Aveiro,Aveiro,40.647354781379356%2C-8.647192586811832
3800-018,1,5,6684,Aveiro,3800,018,AVEIRO,Aveiro,Aveiro,40.637916489342665%2C-8.636568487947999
3800-013,1,5,6684,Aveiro,3800,013,AVEIRO,Aveiro,Aveiro,40.63888639309389%2C-8.636884823502738
3800-136,1,5,6684,Aveiro,3800,136,AVEIRO,Aveiro,Aveiro,40.64282183059475%2C-8.643084863862645
3800-385,1,5,6684,Aveiro,3800,385,AVEIRO,Aveiro,Aveiro,40.64049998367914%2C-8.638599894808783
3800-012,1,5,6684,Aveiro,3800,012,AVEIRO,Aveiro,Aveiro,40.6378704490484%2C-8.635277928715018
3800-213,1,5,6684,Aveiro,3800,213,AVEIRO,Aveiro,Aveiro,40.64288431303617%2C-8.652130454302608
3800-358,1,5,6684,Aveiro,3800,358,AVEIRO,Aveiro,Aveiro,40.64692030344345%2C-8.640412174345126
3800-212,1,5,6684,Aveiro,3800,212,AVEIRO,Aveiro,Aveiro,40.64741653592937%2C-8.640056762911765
3800-369,1,5,6684,Aveiro,3800,369,AVEIRO,Aveiro,Aveiro,40.64640204955597%2C-8.64271282052092
3810-074,1,5,6684,Aveiro,3810,074,AVEIRO,Aveiro,Aveiro,40.63724735487023%2C-8.657567347951746
3800-909,1,5,6684,Aveiro,3800,909,AVEIRO,Aveiro,Aveiro,40.645592377645%2C-8.630336565361365
3810-325,1,5,6684,Aveiro,3810,325,AVEIRO,Aveiro,Aveiro,40.624585269723205%2C-8.626815352965252
3800-059,1,5,6684,Aveiro,3800,059,AVEIRO,Aveiro,Aveiro,40.63865006793819%2C-8.637625056409371
3800-188,1,5,6684,Aveiro,3800,188,AVEIRO,Aveiro,Aveiro,40.645204473137774%2C-8.643624737608198
3810-075,1,5,6684,Aveiro,3810,075,AVEIRO,Aveiro,Aveiro,40.63818291396789%2C-8.65093610007053
3800-510,1,5,6684,Aveiro,3800,510,AVEIRO,Aveiro,Aveiro,40.64717534969859%2C-8.645813069358569
3800-241,1,5,6684,Aveiro,3800,241,AVEIRO,Aveiro,Aveiro,40.646129598000364%2C-8.645520292544347
3800-508,1,5,6684,Aveiro,3800,508,AVEIRO,Aveiro,Aveiro,40.6469369880866%2C-8.644956515481326
3800-509,1,5,6684,Aveiro,3800,509,AVEIRO,Aveiro,Aveiro,40.64802299269161%2C-8.647109570020035
3800-232,1,5,6684,Aveiro,3800,232,AVEIRO,Aveiro,Aveiro,40.64657849399959%2C-8.651461977005457
3810-247,1,5,6684,Aveiro,3810,247,AVEIRO,Aveiro,Aveiro,40.623300787159245%2C-8.636244958505413
3810-277,1,5,6684,Aveiro,3810,277,AVEIRO,Aveiro,Aveiro,40.624255329280004%2C-8.636590925795533
3810-216,1,5,6684,Aveiro,3810,216,AVEIRO,Aveiro,Aveiro,40.61860984008848%2C-8.632615210566122
3810-283,1,5,6684,Aveiro,3810,283,AVEIRO,Aveiro,Aveiro,40.61832645973069%2C-8.634628012632001
3810-322,1,5,6684,Aveiro,3810,322,AVEIRO,Aveiro,Aveiro,40.617210051534514%2C-8.624398548167877
3810-316,1,5,6684,Aveiro,3810,316,AVEIRO,Aveiro,Aveiro,40.607890770960104%2C-8.61953951313174
3810-221,1,5,6684,Aveiro,3810,221,AVEIRO,Aveiro,Aveiro,40.62023744402597%2C-8.624411859603802
3810-508,1,5,6684,Aveiro,3810,508,AVEIRO,Aveiro,Aveiro,40.6250232827816%2C-8.624438261778753
3810-206,1,5,6684,Aveiro,3810,206,AVEIRO,Aveiro,Aveiro,40.61440228665724%2C-8.629978235543835
3810-338,1,5,6684,Aveiro,3810,338,AVEIRO,Aveiro,Aveiro,40.60709688788616%2C-8.615194699029043
3810-303,1,5,6684,Aveiro,3810,303,AVEIRO,Aveiro,Aveiro,40.62719033429294%2C-8.626314487777355
3810-890,1,5,6684,Aveiro,3810,890,AVEIRO,Aveiro,Aveiro,40.62950716297268%2C-8.619706610952502
3810-558,1,5,6684,Aveiro,3810,558,AVEIRO,Aveiro,Aveiro,40.63509826987703%2C-8.619986969279326
3810-244,1,5,6684,Aveiro,3810,244,AVEIRO,Aveiro,Aveiro,40.63250591625169%2C-8.6198847217799
3810-203,1,5,6684,Aveiro,3810,203,AVEIRO,Aveiro,Aveiro,40.632199370252%2C-8.618804703070284
3810-243,1,5,6684,Aveiro,3810,243,AVEIRO,Aveiro,Aveiro,40.63337017309941%2C-8.61912157823825
3810-233,1,5,6684,Aveiro,3810,233,AVEIRO,Aveiro,Aveiro,40.63750501092725%2C-8.610622810733732
3800-910,1,5,6684,Aveiro,3800,910,AVEIRO,Aveiro,Aveiro,40.62891697459267%2C-8.61111001116028
3810-091,1,5,6684,Aveiro,3810,091,AVEIRO,Aveiro,Aveiro,40.63935970096824%2C-8.616406909610172
3810-301,1,5,6684,Aveiro,3810,301,AVEIRO,Aveiro,Aveiro,40.63859754023926%2C-8.618076283028751
3810-332,1,5,6684,Aveiro,3810,332,AVEIRO,Aveiro,Aveiro,40.640705120870905%2C-8.61889541002284
3810-142,1,5,6684,Aveiro,3810,142,AVEIRO,Aveiro,Aveiro,40.632061133849845%2C-8.613704976071167
