location_id,name,distance,bearing,address_obj.street1,address_obj.street2,address_obj.city,address_obj.country,address_obj.postalcode,address_obj.address_string
24110893,1877 Estrela Palace Hotel,0.3521490123463925,northwest,Rua de Jose Estevao 4,,Aveiro,Portugal,3800-202,"Rua de Jose Estevao 4, Aveiro 3800-202 Portugal"
,,,,,,,,,
231468,"Hotel Coimbra Aeminium, Affiliated by Melia",0.2356282489671778,southwest,Avenida Armando Gonsalves 20,,Coimbra,Portugal,3000-059,"Avenida Armando Gonsalves 20, Coimbra 3000-059 Portugal"
10493825,Despertar Saudade AL,0.7621035498474513,southwest,Praca da Republica No 8,,Coimbra,Portugal,3000-343,"Praca da Republica No 8, Coimbra 3000-343 Portugal"
23400627,B&B Hotel Lisboa Montijo,0.7250127540717248,south,"Avenida D. Afonso Henriques, 34",,Montijo,Portugal,2870-154,"Avenida D. Afonso Henriques, 34, Montijo 2870-154 Portugal"
12618422,Hotel Ibn-Arrik,0.8894434217214965,southwest,Rua Alexandre Herculano 18 24,,Coimbra,Portugal,3000-019,"Rua Alexandre Herculano 18 24, Coimbra 3000-019 Portugal"
269562,Pensao Residencial Antunes,0.9269479438948501,southwest,Rua Castro Matoso 8,,Coimbra,Portugal,3000-104,"Rua Castro Matoso 8, Coimbra 3000-104 Portugal"
23512087,Pharmacia Guest House,1.181690983016505,southwest,Rua Ferreira Borges 139,,Coimbra,Portugal,3000-180,"Rua Ferreira Borges 139, Coimbra 3000-180 Portugal"
12615254,Sapientia Boutique Hotel,1.147078750753061,southwest,Rua Jose Falcao N 4,,Coimbra,Portugal,3000-062,"Rua Jose Falcao N 4, Coimbra 3000-062 Portugal"
206909,Hotel ibis Coimbra Centro,1.244938792203378,southwest,Hotel Ibis Avenida Emidio Navarro 70,Edificio Topazio,Coimbra,Portugal,3000-150,"Hotel Ibis Avenida Emidio Navarro 70 Edificio Topazio, Coimbra 3000-150 Portugal"
23836469,Hastens Sleep Spa - CBR Boutique Hotel,1.2240145227674937,southwest,Largo da Portagem 27,,Coimbra,Portugal,3000-337,"Largo da Portagem 27, Coimbra 3000-337 Portugal"
7899143,Vila Gale Evora,0.7882857090504342,north,Avenida Tulio Espanca,,Evora,Portugal,7005-840,"Avenida Tulio Espanca, Evora 7005-840 Portugal"
